"houseid","transaction","address","land_area","date","state","use","building_area","room","hall","bath","management","total_price","unit_price","balcony_area","only_4th_floor","with_1st_floor"
"HOUSE_053","房地(土地+建物)","新北市永和區仁愛路３０９號十四樓之三",7.72,1100907,"住宅大樓(11層含以上有電梯)","住家用",64.92,2,1,1,1,11000000,169413,7.04,0,0
"HOUSE_054","房地(土地+建物)","新北市中和區圓通路３９３巷５號二樓",23.47,1100912,"公寓(5樓含以下無電梯)","住家用",92.5,2,2,2,0,8680000,93838,18.72,0,0
"HOUSE_055","房地(土地+建物)","新北市永和區民樂街３３巷４號三樓",36.75,1100903,"公寓(5樓含以下無電梯)","住家用",99.54,3,2,1,0,11900000,119550,17.1,0,0
"HOUSE_056","房地(土地+建物)","新北市中和區宜安路７０號三樓",32.12,1100910,"公寓(5樓含以下無電梯)","商業用",87.32,4,4,4,0,10600000,121393,0,0,0
"HOUSE_057","房地(土地+建物)","新北市中和區連勝街５７巷２１號四樓",20.52,1100918,"華廈(10層含以下有電梯)","住家用",74.22,2,2,1,1,12500000,168418,7.88,1,0
"HOUSE_058","房地(土地+建物)","新北市中和區景平路４３３號五樓之十七",4.23,1100902,"住宅大樓(11層含以上有電梯)","住家用",30.93,1,1,1,1,5250000,169738,3.36,0,0
"HOUSE_059","房地(土地+建物)","新北市中和區華新街１６９巷５號二樓",21.55,1100905,"公寓(5樓含以下無電梯)","住家用",90.5,3,2,2,0,9050000,100000,13.6,0,0
"HOUSE_060","房地(土地+建物)","新北市中和區新生街１７１號五樓",21.25,1100920,"公寓(5樓含以下無電梯)","住家用",82.18,4,0,4,0,10800000,131419,0,0,0
"HOUSE_061","房地(土地+建物)","新北市永和區永平路３３２號七樓",6.5,1100914,"住宅大樓(11層含以上有電梯)","住家用",71.75,2,2,1,1,14100000,196516,2.92,0,0
"HOUSE_062","房地(土地+建物)","新北市中和區景平路３０５號二樓",24.19,1100910,"公寓(5樓含以下無電梯)","住家用",63.93,2,1,1,0,6000000,93853,0,0,0
"HOUSE_063","房地(土地+建物)","新北市中和區中山路二段３３２巷１７號六樓",16.44,1100912,"住宅大樓(11層含以上有電梯)","商業用",123.82,0,0,0,1,14280000,115329,18.82,0,0
"HOUSE_064","房地(土地+建物)","新北市中和區中山路二段３３２巷２５號八樓",19.47,1100911,"住宅大樓(11層含以上有電梯)","商業用",148.1,0,0,0,1,17230000,116340,4.73,0,0
"HOUSE_065","房地(土地+建物)","新北市中和區中山路二段３３２巷７７號五樓",13.94,1100911,"住宅大樓(11層含以上有電梯)","商業用",106.09,0,0,0,1,12050000,113583,18.37,0,0
"HOUSE_066","房地(土地+建物)","新北市中和區宜安路１６８巷１０號七樓",13.92,1100905,"住宅大樓(11層含以上有電梯)","住家用",98.86,2,2,1,1,18500000,187133,6.89,0,0
"HOUSE_067","房地(土地+建物)","新北市永和區永亨路１２６號二樓",31.71,1100905,"公寓(5樓含以下無電梯)","住家用",78.87,3,2,1,0,11200000,142006,0,0,0
"HOUSE_068","房地(土地+建物)","新北市永和區中正路４１２巷２０弄２２號四樓",22.75,1100909,"公寓(5樓含以下無電梯)","住家用",68.79,3,3,2,0,9200000,133740,13.93,1,0
"HOUSE_069","房地(土地+建物)","新北市永和區竹林路２１３巷３８號三樓",34.25,1100919,"公寓(5樓含以下無電梯)","住家用",108.13,3,2,1,0,13000000,120226,28.6,0,0
"HOUSE_070","房地(土地+建物)","新北市中和區莊敬路４９巷２５號四樓",33.92,1100907,"公寓(5樓含以下無電梯)","住家用",95.6,3,2,2,0,10000000,104603,0,1,0
"HOUSE_071","房地(土地+建物)","新北市中和區華順街９５號",4.75,1100923,"華廈(10層含以下有電梯)","住家用",86.2,0,0,0,1,14100000,163573,0,0,1
"HOUSE_072","房地(土地+建物)","新北市中和區中和路２９６號十三樓之一",11.81,1100902,"住宅大樓(11層含以上有電梯)","住家用",132.99,4,2,2,1,6000000,45116,11.62,0,0
"HOUSE_073","房地(土地+建物)","新北市中和區景平路９８９巷１５號",24.94,1100906,"公寓(5樓含以下無電梯)","住家用",74.17,4,2,1,0,10200000,137522,0,0,1
"HOUSE_074","房地(土地+建物)","新北市中和區中正路８３９巷２５號",10.38,1100903,"住宅大樓(11層含以上有電梯)","住商用",125.85,3,2,2,1,10280000,81685,17.29,0,1
"HOUSE_075","房地(土地+建物)","新北市永和區中山路一段１２６號六樓之三",5.02,1100923,"住宅大樓(11層含以上有電梯)","辦公用",48.94,2,2,1,1,7800000,159379,2.74,0,0
"HOUSE_076","房地(土地+建物)","新北市中和區南山路１２７巷８弄２２號三樓",26.62,1100906,"公寓(5樓含以下無電梯)","住家用",108,3,2,2,0,13050000,120833,16.16,0,0
"HOUSE_077","房地(土地+建物)","新北市中和區福祥路９號十樓之二十九",6.24,1100925,"住宅大樓(11層含以上有電梯)","住家用",67.36,1,1,1,1,10300000,152910,5.75,0,0
"HOUSE_078","房地(土地+建物)","新北市中和區圓通路１５８巷５弄７號二樓",29.48,1100901,"公寓(5樓含以下無電梯)","住家用",99.24,5,0,5,0,11000000,110842,0,0,0
"HOUSE_079","房地(土地+建物)","新北市永和區永和路一段７０號八樓",5.89,1100905,"住宅大樓(11層含以上有電梯)","住家用",73.95,2,2,1,1,11460000,154970,6.65,0,0
"HOUSE_080","房地(土地+建物)","新北市永和區成功路一段７９號三樓",38.99,1100901,"公寓(5樓含以下無電梯)","住家用",90.96,3,2,1,0,11200000,123131,0,0,0
"HOUSE_081","房地(土地+建物)","新北市中和區廣福路６９號二樓",24.8,1100904,"住宅大樓(11層含以上有電梯)","辦公用",115.1,3,2,1,1,17000000,147698,11.52,0,1
"HOUSE_082","房地(土地+建物)","新北市中和區中正路２２０號",7.32,1100909,"住宅大樓(11層含以上有電梯)","商業用",86.54,0,1,1,1,15000000,173330,6.64,0,1
"HOUSE_083","房地(土地+建物)","新北市中和區華福街２７巷８號四樓",18.27,1100906,"公寓(5樓含以下無電梯)","住家用",67.52,2,2,1,0,7200000,106635,0,1,0
"HOUSE_084","房地(土地+建物)","新北市中和區工專路１３８號六樓",14.02,1100910,"住宅大樓(11層含以上有電梯)","住家用",101.63,2,2,1,1,13200000,129883,6.38,0,0
"HOUSE_085","房地(土地+建物)","新北市中和區中正路１６９號十一樓",8.77,1100918,"住宅大樓(11層含以上有電梯)","住家用",84.96,1,1,1,1,12000000,141243,6.67,0,0
"HOUSE_086","房地(土地+建物)","新北市中和區景平路２６８號十三樓之七",3.71,1100904,"住宅大樓(11層含以上有電梯)","住家用",49.98,1,1,1,1,7850000,157063,0,0,0
"HOUSE_087","房地(土地+建物)","新北市中和區民德路１４９號三樓",23.8,1100914,"公寓(5樓含以下無電梯)","住家用",81.85,3,1,1,0,6000000,73305,0,0,0
"HOUSE_088","房地(土地+建物)","新北市中和區福祥路７０號十四樓之六",6.55,1100927,"住宅大樓(11層含以上有電梯)","住家用",57.47,1,1,1,1,9200000,160084,6.34,0,0
"HOUSE_089","房地(土地+建物)","新北市中和區中山路三段６３巷１３弄１１號五樓",26.79,1100924,"公寓(5樓含以下無電梯)","住家用",95.09,3,1,2,1,8150000,85708,8.75,0,0
"HOUSE_090","房地(土地+建物)","新北市永和區成功路二段２３３號十四樓之一",3.54,1100913,"住宅大樓(11層含以上有電梯)","住家用",68.08,1,2,1,1,12880000,189189,7.9,0,0
"HOUSE_091","房地(土地+建物)","新北市中和區景平路２６０號十樓之一",6.04,1100905,"住宅大樓(11層含以上有電梯)","住家用",81.54,2,2,1,1,12300000,150846,0,0,0
"HOUSE_092","房地(土地+建物)","新北市中和區民利街６８巷２弄１號五樓",26.1,1100910,"公寓(5樓含以下無電梯)","住家用",88.35,5,3,3,0,9200000,104131,10.99,0,0
"HOUSE_093","房地(土地+建物)","新北市永和區永亨路１１８號七樓",11.85,1100928,"華廈(10層含以下有電梯)","住家用",54.72,2,1,1,1,6060000,110746,0,0,0
"HOUSE_094","房地(土地+建物)","新北市永和區成功路一段９３巷２０弄１號四樓",29.46,1100915,"公寓(5樓含以下無電梯)","住家用",85.29,3,2,1,0,4242735,49745,0,1,0
"HOUSE_095","房地(土地+建物)","新北市永和區永平路８１巷１２號三樓之二",7.61,1100901,"華廈(10層含以下有電梯)","住家用",79.95,2,2,1,1,10100000,126329,0,0,0
"HOUSE_096","房地(土地+建物)","新北市中和區中和路２１７巷１８弄５號",34.55,1100923,"公寓(5樓含以下無電梯)","住家用",86.54,3,2,2,0,14880000,171944,0,0,1
"HOUSE_097","房地(土地+建物)","新北市永和區雙和街２０巷７號四樓",33.85,1100925,"公寓(5樓含以下無電梯)","住家用",84.03,3,2,1,0,11900000,141616,10.53,1,0
"HOUSE_098","房地(土地+建物)","新北市中和區連城路７１號十樓之七",7.27,1100907,"住宅大樓(11層含以上有電梯)","住家用",55.43,1,1,1,1,8300000,149738,0,0,0
"HOUSE_099","房地(土地+建物)","新北市永和區竹林路６６巷１０弄２號四樓",12.7,1100911,"華廈(10層含以下有電梯)","住家用",56.77,2,1,1,1,7250000,127708,0,1,0
"HOUSE_100","房地(土地+建物)","新北市永和區四維街４４號三樓",29.87,1100912,"公寓(5樓含以下無電梯)","住家用",74.7,2,1,1,0,4500000,60241,0,0,0
"HOUSE_101","房地(土地+建物)","新北市永和區仁愛路６２號二樓",17.14,1100904,"公寓(5樓含以下無電梯)","住家用",104.51,3,2,2,0,15780000,150990,0,0,0
"HOUSE_102","房地(土地+建物)","新北市中和區保健路５１號三樓",17.23,1100910,"公寓(5樓含以下無電梯)","住家用",38.4,2,1,1,0,5250000,136719,0,0,0
"HOUSE_103","房地(土地+建物)","新北市中和區新生街２８６號五樓",19.59,1100928,"公寓(5樓含以下無電梯)","住家用",73.84,2,2,1,0,7600000,102925,6.74,0,0
"HOUSE_104","房地(土地+建物)","新北市中和區捷運路５８之７號五樓",7.8,1100912,"住宅大樓(11層含以上有電梯)","住家用",42.1,1,1,1,1,8130000,193112,5.27,0,0
"HOUSE_105","房地(土地+建物)","新北市永和區竹林路１１９巷２５弄８號三樓",36.08,1100912,"華廈(10層含以下有電梯)","住家用",144.23,7,2,5,1,18700000,129654,0,0,0
"HOUSE_106","房地(土地+建物)","新北市中和區中山路二段５７７號十一樓",3.75,1100908,"住宅大樓(11層含以上有電梯)","住家用",54.23,1,1,1,1,6680000,123179,6.07,0,0
"HOUSE_107","房地(土地+建物)","新北市中和區福祥路７０號十三樓之七",5.3,1100920,"住宅大樓(11層含以上有電梯)","住家用",46.27,1,1,1,1,7900000,170737,5.13,0,0
"HOUSE_108","房地(土地+建物)","新北市中和區景平路１１９號五樓之１",10.16,1100918,"住宅大樓(11層含以上有電梯)","住家用",79.86,2,2,1,1,13850000,173428,4.05,0,0
"HOUSE_109","房地(土地+建物)","新北市中和區員山路２６６巷３１號",19.77,1101001,"公寓(5樓含以下無電梯)","住商用",92.54,5,2,2,0,15700000,169656,0,0,1
"HOUSE_110","房地(土地+建物)","新北市中和區中山路三段１１４巷２７號二樓",0.07,1101008,"華廈(10層含以下有電梯)","工業用",0.33,0,0,0,1,32000,0,0,0,0
"HOUSE_111","房地(土地+建物)","新北市永和區中和路３４５號十樓之二",8.31,1100916,"住宅大樓(11層含以上有電梯)","商業用",95.91,2,0,0,1,11680000,121781,0,0,0
"HOUSE_112","房地(土地+建物)","新北市中和區建康路１８８號二十五樓",18.68,1100902,"住宅大樓(11層含以上有電梯)","住家用",154.33,3,2,2,1,22910000,148448,10.22,0,0
"HOUSE_113","房地(土地+建物)","新北市永和區豫溪街５７巷１１弄２號二樓",33.48,1100915,"公寓(5樓含以下無電梯)","住家用",85.13,3,2,2,0,7700000,90450,0,0,0
"HOUSE_114","房地(土地+建物)","新北市永和區中正路５２７號五樓之八",7.23,1100920,"住宅大樓(11層含以上有電梯)","住家用",58.73,2,2,1,1,10480000,178444,2.2,0,0
"HOUSE_115","房地(土地+建物)","新北市中和區南山路１２７巷１８弄７之１號五樓",36.82,1100918,"公寓(5樓含以下無電梯)","住家用",119.17,4,2,2,0,13100000,109927,13.43,0,0
"HOUSE_116","房地(土地+建物)","新北市中和區興南路二段３４巷３０弄４號三樓",25.97,1100930,"公寓(5樓含以下無電梯)","住家用",88.59,3,2,2,0,8120000,91658,9.99,0,0
"HOUSE_117","房地(土地+建物)","新北市中和區中興街１６３號五樓",24.92,1100918,"公寓(5樓含以下無電梯)","住家用",92.26,3,2,1,0,9500000,102970,0,0,0
"HOUSE_118","房地(土地+建物)","新北市中和區新生街３０巷１５號四樓",29.03,1100913,"住宅大樓(11層含以上有電梯)","住家用",177.67,4,2,2,1,20000000,112568,28.95,1,0
"HOUSE_119","房地(土地+建物)","新北市永和區得和路１０４巷７號三樓",22.42,1100902,"公寓(5樓含以下無電梯)","住家用",101.57,3,2,2,0,15300000,150635,9.22,0,0
"HOUSE_120","房地(土地+建物)","新北市永和區秀朗路二段１４８巷７弄９號",29.37,1100910,"公寓(5樓含以下無電梯)","住家用",101.69,3,2,2,0,18600000,182909,0,0,1
"HOUSE_121","房地(土地+建物)","新北市中和區中山路三段１１８之３４號三樓",17.22,1100904,"華廈(10層含以下有電梯)","工業用",109.11,3,2,2,1,13000000,119146,9.96,0,0
"HOUSE_122","房地(土地+建物)","新北市中和區新生街１１４巷３號三樓",12.98,1100916,"公寓(5樓含以下無電梯)","住家用",54.92,2,1,1,0,2300000,41879,3.77,0,0
"HOUSE_123","房地(土地+建物)","新北市中和區景新街２２４之１０號三樓",20.39,1100918,"公寓(5樓含以下無電梯)","住家用",87.52,3,2,1,0,10910000,124657,12.09,0,0
"HOUSE_124","房地(土地+建物)","新北市中和區捷運路１１５號七樓",5.42,1101013,"華廈(10層含以下有電梯)","住家用",32.09,1,1,1,1,5300000,165160,7.65,0,0
"HOUSE_125","房地(土地+建物)","新北市永和區中正路２８３巷６６弄２號三樓",35.57,1100916,"公寓(5樓含以下無電梯)","住家用",91,3,2,1,0,12200000,134066,0,0,0
"HOUSE_126","房地(土地+建物)","新北市中和區中興街１３６號三樓",23.89,1100928,"住宅大樓(11層含以上有電梯)","住家用",130.76,2,2,2,1,17000000,130009,10.82,0,0
"HOUSE_127","房地(土地+建物)","新北市中和區員山路４４８之１號七樓",2.66,1100916,"住宅大樓(11層含以上有電梯)","住家用",35.98,1,1,1,1,4430000,123124,2.05,0,0
"HOUSE_128","房地(土地+建物)","新北市中和區連城路２１９巷２弄４號五樓",42.35,1100923,"公寓(5樓含以下無電梯)","住家用",110.48,4,2,2,0,12680000,114772,8.4,0,0
"HOUSE_129","房地(土地+建物)","新北市中和區興南路一段１０５巷２０弄３５號三樓",15.8,1100923,"公寓(5樓含以下無電梯)","住家用",45.7,2,2,1,0,6320000,138293,6.15,0,0
"HOUSE_130","房地(土地+建物)","新北市永和區保福路一段５８巷５號五樓",15.69,1100911,"公寓(5樓含以下無電梯)","住家用",50.06,2,1,1,0,5700000,113863,7.86,0,0
"HOUSE_131","房地(土地+建物)","新北市中和區民德路３６８號九樓",18.86,1100911,"住宅大樓(11層含以上有電梯)","住家用",117.51,3,2,2,1,15800000,134457,10.61,0,0
"HOUSE_132","房地(土地+建物)","新北市中和區國光街１０９巷２２弄３號三樓",23.5,1100905,"公寓(5樓含以下無電梯)","住家用",74.31,3,2,1,0,8700000,117077,9.49,0,0
"HOUSE_133","房地(土地+建物)","新北市中和區員山路５８１巷３１弄４５號三樓",28.5,1100914,"公寓(5樓含以下無電梯)","工商用",92.22,3,2,1,0,8200000,88918,15.36,0,0
"HOUSE_134","房地(土地+建物)","新北市中和區華順街１３８號二樓之一",24.24,1100914,"住宅大樓(11層含以上有電梯)","住家用",148.12,3,1,2,1,12000000,81015,12.42,0,0
"HOUSE_135","房地(土地+建物)","新北市中和區秀朗路三段７８巷４弄２號四樓",31.59,1100920,"公寓(5樓含以下無電梯)","住家用",114.83,3,2,3,0,10800000,94052,0,1,0
"HOUSE_136","房地(土地+建物)","新北市中和區圓通路２５２巷１８弄１號二樓",27,1100917,"公寓(5樓含以下無電梯)","住家用",85.34,3,2,1,0,9080000,106398,10.88,0,0
"HOUSE_137","房地(土地+建物)","新北市永和區竹林路６６巷２之１號六樓",7.25,1100926,"華廈(10層含以下有電梯)","住家用",44.73,1,1,1,1,7050000,157612,0,0,0
"HOUSE_138","房地(土地+建物)","新北市永和區永平路３７８號四樓",13.84,1100930,"住宅大樓(11層含以上有電梯)","住家用",152.82,3,2,2,1,25239009,165155,12.78,1,0
"HOUSE_139","房地(土地+建物)","新北市中和區保健路７巷７號二樓",30.37,1100910,"公寓(5樓含以下無電梯)","住家用",73.57,3,2,1,0,9800000,133206,15.55,0,0
"HOUSE_140","房地(土地+建物)","新北市中和區國光街１１２巷１８弄８號四樓",26.4,1100922,"公寓(5樓含以下無電梯)","住家用",89.92,3,2,2,0,10880000,120996,0,1,0
"HOUSE_141","房地(土地+建物)","新北市永和區自由街１６號",11.54,1101006,"住宅大樓(11層含以上有電梯)","商業用",120.03,0,2,1,1,21500000,179122,8.18,0,1
"HOUSE_142","房地(土地+建物)","新北市中和區自立路３５號二樓",28.29,1100914,"華廈(10層含以下有電梯)","商業用",187.34,0,1,1,1,29000000,154799,12.88,0,1
"HOUSE_143","房地(土地+建物)","新北市中和區中山路三段４６號二樓",31.12,1100917,"公寓(5樓含以下無電梯)","住家用",104.27,4,1,2,0,10300000,98782,0,0,0
"HOUSE_144","房地(土地+建物)","新北市永和區福和路７巷８之１號四樓",40.88,1100902,"公寓(5樓含以下無電梯)","住家用",105.4,3,2,1,0,12400000,117647,18.42,1,0
"HOUSE_145","房地(土地+建物)","新北市永和區雙和街３７巷１號",32.62,1100922,"公寓(5樓含以下無電梯)","住家用",80.79,3,2,2,0,20400000,252506,0,0,1
"HOUSE_146","房地(土地+建物)","新北市中和區景平路２６８號八樓之二",4.01,1100913,"住宅大樓(11層含以上有電梯)","辦公用",54.28,1,1,1,1,7980000,147015,0,0,0
